Organization,AUM (USD),Agriculture Focus,Alignment with Saudi Vision 2030,Aquaculture Focus,Category,Check Size Max USD,Check Size Min USD,Co-Investment Potential,Confidence,Contact Name,Decision Maker LinkedIn URL,Decision Maker Name,Decision Maker Title,ESG/Impact Orientation,Email,Event,Follow-up Date,Geographic Focus,Geographic Focus (Enhanced),HQ Country,Impact Evidence URL,Instrument Type,Investment Approach,Investment Areas,Investment Thesis,Investor Type,Last Verified,MENA Experience,Next Action,Notes,Organization LinkedIn URL,Outreach Priority,Phone,Portfolio Examples,Position,Previous Aquaculture Investments,Priority Score,Regions Open to Explore,Research Sources,Saudi Evidence,Saudi Experience,Saudi Focus,Secondary Contact LinkedIn,Secondary Contact Name,Secondary Contact Title,Source,Stage Focus,Stage of Communication,Subsector Focus,Target Sector,Technical Expertise in RAS,Ticket Size,Typical Ticket Size (USD Million),Value-Chain Focus,Website
Alesayi Holding,,Indirect,High - diversified infrastructure investor,Indirect,High Priority,,,Medium - Diversified Saudi family office with Vision 2030 appetite; open to new sectors aligned with national strategy,,,,Abdullah Omar K. Alesayi,Chairman,No,mailto:info@alesayi.com,,,"Saudi Arabia, Middle East",,Saudi Arabia,,,Diversified growth investor - Family office with strong balance sheet and appetite for new sectors aligned with Vision 2030.,"Food Security, Food Systems, Infrastructure",,Family Office / Conglomerate,,Yes,,"Founded 1945, initially textiles. Now operates across engineering, technology, real estate, asset management, trade, retail, electronics, investment, finance, services. Revenues and net assets surged 40% from 2020-2022. Strong growth trajectory.",https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B74627093%255D&_l=ar&trk=org-employees_cta_face-pile-cta,Warm Lead,+966 12 644 8282,,,"None identified - Saudi infrastructure and food systems conglomerate, but no confirmed aquaculture portfolio investments",85,,,,Yes,,,,,Strategic Target,,To Be Contacted,,"Infrastructure, Food Systems, Diversified Industries",,$10M - $70M,35,,https://alesayi.com/contact-us/
Alturki Holding,,Indirect,Very High - infrastructure and innovation focus,Indirect,High Priority,,,Medium - Family office VC with tech/agtech focus; open to innovation in food systems and agriculture,,,,,,No,mailto:info@alturkibp.com,,,"Saudi Arabia, Middle East",,Saudi Arabia,,,Venture capital & growth equity - Active VC arm backing tech-enabled companies. Open to innovation in food systems and agriculture technology.,"AgTech, Food Security, Infrastructure, Sustainable Technology",,Family Office / Venture Capital,,Yes,,"Established 1975. Infrastructure provider for construction, building materials, transportation, oil-field services, real estate, healthcare. Has venture capital arm 'Alturki Ventures' with investments in 37+ companies. Growth in healthcare IT and education tech. Launched e-commerce platform masheedGATE.",https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B6385826%252C%2B1237815%252C%2B13437604%252C%2B10131171%252C%2B3582956%252C%2B16156106%252C%2B1342809%252C%2B611928%255D&_l=it&trk=org-employees_cta_face-pile-cta,Warm Lead,+966 50 380 5550,,,None identified - Saudi family office with infrastructure/AgTech focus. May have evaluated aquaculture technology but no confirmed direct investments,86,,,,Yes,,,,,Strategic Target,,To Be Contacted,,"Infrastructure, AgTech, Innovation",,$5M - $50M,20,,https://alturkiholding.com
AlJammaz Group,,Direct,Very High - agriculture and food focus,Indirect,Highest Priority,,,High - Major Saudi agriculture/food operator; strategic JV partner for value chain integration and market access,,,,Ibrahim Abdulaziz AlJammaz,Chairman,No,mailto:info@aljammaz.com,,,"Saudi Arabia, MENA, Asia, Europe, North America",,Saudi Arabia,,,"Strategic acquisitions & platforms - Major agriculture and food operator with farms, processing, and distribution. Open to JVs and strategic partnerships in food production value chain.","Agriculture, Food Processing, Food Security",,Family Office / Conglomerate,,Yes,,"Established 1975. Operates in agriculture and food sectors. 20+ businesses, 700+ branches, 4,000+ employees. Owns 57.1% of Alamar Foods. Has dates factory processing from AlJammaz Farms. Distributes irrigation systems, fertilizers, seeds, agriculture products. Partner in Derayah fintech and D360 digital bank. Invests in public/private equity in MENA, Asia, Europe, US.",https://rocketreach.co/aljammaz-group-profile_b55abf5df636739f,Hot Lead,(011) 477-6700,,,None identified - Saudi family office in food processing/agriculture. May have evaluated aquaculture for food security but no confirmed investments,89,,,,Yes,,,,,Strategic Target,,To Be Contacted,,"Agriculture, Food Processing, QSR Supply Chain",,$10M - $80M,40,,http://www.aljammaz.com
SEDCO Holding,,Indirect,Very High - Shariah-compliant sustainable investing,Indirect,High Priority,,,Medium - Shariah-compliant ESG/impact investor; good fit for sustainable food security with Islamic finance structure,,,,Saleh Salem Bin Mahfouz,Chairman,Yes,mailto:info@sedco.com,,,"Saudi Arabia, Global",,Saudi Arabia,,,Shariah-compliant sustainable investing - Focus on ESG and impact. Ideal for sustainability-focused food security projects.,"Food Security, Food Systems, Infrastructure",,Family Office / Asset Manager,,Yes,,"Founded 1976. Specializes in Shariah-compliant financing and sustainable investment solutions. Invests in asset management, education, healthcare, hospitality, logistics, real estate. SEDCO Capital REIT Fund assets: $653M. Strong ESG/sustainability mandate.",https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B165907%255D&trk=org-employees_cta_face-pile-cta,Warm Lead,+966 12 XXX XXXX,,,"None identified - Saudi family office/asset manager (Sharbatly family) focused on real estate, infrastructure. Food security mandate but no confirmed aquaculture investments",87,,,,Yes,,,,,Strategic Target,,To Be Contacted,,,,$20M - $150M,75,,https://sedco.com/
Sultan Holding Company (SHC),,Direct,High - diversified strategic investments,Indirect,Highest Priority,,,Medium - Strategic minority investor in Saudi food sector (Almarai); proven agriculture partner for established platforms,,,,Naif Al Saud,Chairman,No,mailto:info@sultan-logistics.com,,,"Saudi Arabia, GCC",,Saudi Arabia,,,Strategic minority stakes - Invests in established companies with strong market positions. Proven agriculture/food investor through Almarai stake.,"Agriculture, Food Security, Infrastructure",,Family Office / Holding Company,,Yes,,"Founded 2020 but founder Sultan Bin Mohammed Al Kabeer has 50+ years industry experience. Key investments include Yamama Cement, Almarai (dairy), Arabian Shield Insurance, Zain KSA. Chairman: Naif Al Saud. Strategic investor with food security portfolio.",,Hot Lead,+966 920002022,,,None identified - Saudi family office/holding company. Diversified investments but no confirmed aquaculture track record,88,,,,Yes,,,,,Strategic Target,,To Be Contacted,,,,$20M - $150M,75,,sultanholding.sa
Obeikan Investment Group (OIG),,Indirect,High - diversified industrial investor,Indirect,High Priority,,,Medium - Industrial/manufacturing family office; may invest in food processing and value-added operations,,,,Abdallah Obeikan,Group CEO,No,mailto:info@obeikan.com.sa,,,"Saudi Arabia, 16 countries globally",,Saudi Arabia,,,Industrial diversification - Manufacturing and industrial focus with packaging expertise. May invest in food processing and value-added agriculture.,"Food Processing, Food Security, Infrastructure",,Family Office / Conglomerate,,Yes,,"Established 1982 as print shop, now operates across packaging, digital, diversified investments, education, bookstores. $1B annual turnover, $1.6B assets, 25 companies, 20 factories/offices in 16 countries. Owns 43.83% Obeikan Glass ($133.9M revenue 2022). June 2023: JV with European Lithium for Saudi Vision 2030 mining/EV.",https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B3519189%252C%2B3518549%252C%2B3519191%252C%2B3519190%252C%2B3517488%252C%2B3519187%252C%2B3520188%252C%2B3519196%252C%2B3519195%252C%2B3518554%252C%2B484855%252C%2B2143826%252C%2B3520198%252C%2B3518560%252C%2B3520204%252C%2B3517481%252C%2B3520202%252C%2B2307165%255D&trk=org-employees_cta_face-pile-cta,Warm Lead,+966 11 XXX XXXX,,,"None identified - Saudi family office focused on packaging, paper, food processing. Infrastructure focus but no confirmed aquaculture investments",85,,,,Yes,,,,,Strategic Target,,To Be Contacted,,,,$10M - $80M,40,,https://www.obeikan.com.sa/
Rajhi Invest,,Indirect,Very High - major Vision 2030 partner,Indirect,Highest Priority,,,High - Major Saudi family office partnering with PIF on mega-projects; strong infrastructure capabilities,,,,Yazeed Al-Rajhi,Chairman,No,mailto:info@rajhibusiness.com,,,"Saudi Arabia, GCC, Global",,Saudi Arabia,,,Large-scale strategic investments - Major family office partnering with PIF on mega-projects. Strong industrial and infrastructure capabilities.,"Agriculture, Food Processing, Food Security, Infrastructure",,Family Office / Conglomerate,,Yes,,"Founded 1962 by Mohammad Abdulaziz Al-Rajhi. Investments across industrial, banking, financial, hotels, hospitality, real estate, global investments. Stakes in Rajhi Steel, Al Rajhi Bank, Saudi Tourism Development Company. 2023: Developed 1,500+ hotel rooms. Sep 2023: $3B steel production JV with PIF and SABIC.",https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B5013926%255D&trk=org-employees_cta_face-pile-cta,Hot Lead,+966920021333,,,"None identified - Saudi family office (Al Rajhi family) focused on real estate, hospitality, food. Large diversified holdings but no confirmed aquaculture investments",89,,,,Yes,,,,,Strategic Target,,To Be Contacted,,,,$30M - $200M,100,,https://rajhi-invest.com/the-founder.html
Al Faisaliah Group (AFG),,Direct,High - dairy and food production focus,Indirect,Highest Priority,,,Medium - Saudi family office with global food JVs (Danone); strategic partner for food production partnerships,,,,Mohammed K.A. Al Faisal,Group President,No,mailto:info@alfaisaliah.com,,,"Saudi Arabia, Middle East",,Saudi Arabia,,,Strategic partnerships & JVs - Proven track record with global food companies (Danone). Open to partnerships in food production and processing.,"Agriculture, Food Processing, Food Security",,Family Office / Conglomerate,,Yes,,"Founded 1971. Operations across dairy, food service, healthcare, electronics. Strategic partnerships with Sony, Danone, Philips, Accenture. Al Safi Danone is JV with Groupe Danone supplying dairy products to 32+ countries. Major food security player.",https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B16740%255D&trk=org-employees_cta_face-pile-cta,Hot Lead,+966 11 XXX XXXX,,,"None identified - Saudi family office/conglomerate focused on food security and food processing, but no public record of direct aquaculture investments",88,,,,Yes,,,,,Strategic Target,,To Be Contacted,,"Dairy, Food Manufacturing, Food Security",,$15M - $100M,50,,http://www.alfaisaliah.com
GIC (Government of Singapore Investment Corporation),,,,Indirect,,,,Low - Singapore SWF focused on listed equities and funds; limited direct project co-investment,,,,Lim Chow Kiat,CEO,No,,,,"Global - Americas, Europe, Asia-Pacific, MENA. Major infrastructure and food security investments across all continents",,Singapore,,,,,,Sovereign Wealth Fund,,Yes,,Singaporean sovereign wealth fund established 1981. Major global infrastructure and alternative assets investor. Potential for food security and aquaculture infrastructure investments.,,Warm Lead,,,,"Possible - Singapore SWF with global diversified portfolio. May have indirect exposure via food security, infrastructure, or Asian agribusiness funds",82,,,,No,,,,,Strategic Target,,To Be Contacted,,"Infrastructure, Alternative Assets (global diversified)",,$50M - $500M+,100,,
Bon Angels Venture Partners,,,,Indirect,,,,Low - Korean early-stage VC; limited information on aquaculture mandate,,,,,,No,,,,"South Korea (primary), Asia-Pacific venture investments",,South Korea,,,,,,Venture Capital,,No,,Follow-on investor in TIDEPOOL aquaculture technology startup. Active venture capital firm in South Korea.,,Warm Lead,,,,TIDEPOOL (aquaculture tech),75,,,,No,,,,,Strategic Target,Seed/Early Stage,To Be Contacted,,Early-stage Ventures (sector unknown),,,,,
Motilal Oswal Alternates,,Indirect,,Indirect,,,,Medium - Indian PE with infrastructure/agriculture focus; may consider large-scale projects,,,,,,No,,,,"India (primary), South Asia mid-market private equity across consumer, financial services, infrastructure",,India,,,,"Agriculture, Food Systems, Infrastructure",,Private Equity,,No,,"Top private equity firm in India. Focus on mid-market companies in consumer, financial services, and other sectors. Strong local presence and deal sourcing network.",,Warm Lead,,,,"Limited - Indian alternative asset manager focused on PE, real estate, infrastructure. May have food/agriculture exposure but no confirmed aquaculture investments",78,,,,No,,,,,Strategic Target,Growth/Buyout,To Be Contacted,,,,$10M - $50M,25,,https://www.motilaloswalalt.com/private-equity/
Dongwon Industries,,,,Direct,,,,Medium - Korean seafood conglomerate; strategic partner for aquaculture operations and market access to Asia,,,,,,No,,,,"South Korea (HQ), Asia-Pacific, global seafood sourcing and aquaculture partnerships (Norway RAS investments)",,South Korea,,,,,"Technology Focus, Vertical Integration",Strategic/Corporate,,No,,"One of world's largest seafood companies, owner of StarKist. JV with Salmon Evolution to build land-based Atlantic salmon farm in South Korea. Purchased minority stake in Norway's Salmon Evolution.",,Warm Lead,,,,"Land-based salmon farm JV, Salmon Evolution stake",87,,,,No,,,,,Strategic Target,,To Be Contacted,,"Seafood, Fisheries, Aquaculture",,$20M - $100M,30,,
China Investment Corporation (CIC),,Indirect,"High - Belt & Road alignment, infrastructure focus",Indirect,,,,Low - China SWF focused on funds and listed securities; limited direct greenfield co-investment,,,,Zhang Qingsong,Chairman and CEO,No,,,,"Global - Strong focus on Belt & Road regions including MENA, Africa, Asia, Europe. Major infrastructure and food security investor",,China (Beijing),,,,,,Sovereign Wealth Fund,,Yes,,Chinese sovereign wealth fund established 2007. Operating income US$118 billion (2019). Major global infrastructure and alternatives investor. Belt & Road MENA focus.,,Warm Lead,,,,Possible - Chinese sovereign wealth fund with global infrastructure/agriculture allocations. May have indirect exposure via food security funds,85,,,,No,,,,,Strategic Target,,To Be Contacted,,"Infrastructure, Food Security (global diversified)",,$100M - $1B+,200,,
Hatch Blue,,,,Direct,,,,High - Leading aquaculture innovation VC; backs disruptive aqua-tech from seed through growth,,,,,,Yes,,,,"Global aquaculture - Singapore HQ, investments across Asia, Europe, Americas, Oceania. Blue Revolution Fund",,Singapore,,,,"Aquaculture, Aquaculture Innovation, Blue Economy, Climate Tech","ESG/Impact First, Technology Focus",Venture Capital,,No,,Aquaculture-focused venture capital firm. Blue Revolution Fund launched with first close completed. Brings third-party verified impact investing to aquaculture sector. Partnered with EDB and WWF for Blue Catalyst accelerator.,,Hot Lead,,,,"Extensive - Leading global aquaculture VC. Portfolio: 50+ aquatech/blue economy startups including RAS tech, feed innovation, genetics, monitoring systems. Deep sector expertise",92,,,,No,,,,,Strategic Target,Seed/Early Stage,To Be Contacted,,,,$2M - $10M,5,,
Temasek Holdings,$290 billion,Direct,,Indirect,,,,Medium - Singapore SWF with food security mandate; prefers growth-stage companies with proven traction,,,,,,Yes,,,,"Global - Asia (primary), Americas, Europe, MENA. Aggressive agritech and food security investor across all continents",,Singapore,,,,"AgTech, Agriculture, Aquaculture, Climate Tech, Food Security","Food Security, Regional Expansion, Technology Focus",Sovereign Wealth Fund,,Yes,,US$290 billion state-owned investment empire. Holdings span Indonesian fish food start-up eFishery to Israeli irrigation firms. Called 'best and most aggressive' agritech investor. Strong food security mandate.,,Hot Lead,,,,"Likely - Singapore SWF with extensive Asia-Pacific food/agriculture portfolio. Portfolio includes seafood companies and likely has aquaculture investments in SE Asia (shrimp, fish farming)",95,,,,No,,,,,Strategic Target,,To Be Contacted,,,,$20M - $100M+,50,,
Korea Investment Private Equity (KIPE),,Indirect,,Indirect,,,,Medium - Korean PE with infrastructure/agriculture focus; may consider large-scale regional projects,,,,,,No,,,,"South Korea (primary), expanding to Asia-Pacific and select global infrastructure/natural resources opportunities",,South Korea,,,,"Agriculture, Food Systems, Infrastructure",,Private Equity,,No,,"Independent PE firm, wholly owned by Korea Investment Holdings. Focus on natural resources, energy, infrastructure, environmental ventures, healthcare. Established 2010. Part of Korea's largest independent financial group.",,Warm Lead,,,,Possible - Korean PE fund focused on infrastructure and food systems. Korea has significant aquaculture sector; may have invested but details not public,80,,,,No,,,,,Strategic Target,Growth/Buyout,To Be Contacted,,,,$20M - $100M,40,,https://pe.koreainvestment.com/en/companyhistory/about/9
Grieg Kapital,,,,Direct,,,,Medium - Norwegian seafood family office; strong aquaculture expertise and industry networks,,,,,,No,mailto:dealflow@grieg.no,,,"Norway (primary), Nordic region, expanding to Europe and global ocean technology/aquaculture opportunities",,Norway,,,,,,Family Office,,No,,"Family-owned investment company creating lasting values and sustainable businesses. Focus on Ocean Technology, Aquaculture, and B2B SaaS.",,Hot Lead,,,,"Extensive - Norwegian family office from Grieg Seafood family. Deep aquaculture heritage: Grieg Seafood (salmon farming), Grieg Aqua (seafood operations). Generational expertise",90,,,,No,,,,,Strategic Target,,To Be Contacted,,"Ocean Technology, Aquaculture, B2B SaaS",,,,,https://griegkapital.no/
Aqua Capital,,Direct,,Indirect,,,,High - Active aquaculture PE/VC investor; backs operational assets and aqua-tech companies,,,,,,Yes,,,,"Latin America (Brazil primary), expanding to other emerging markets in agriculture and food value chain",,Brazil,,,,"AgTech, Agriculture, Aquaculture, Food Systems","Food Security, Technology Focus",Private Equity/Venture Capital,,No,,"Sao Paulo-based. 22,491 LinkedIn followers. Investing in innovating, sustainable companies in the Ag and Food value chain. Strong Latin America presence.",https://uy.linkedin.com/company/aqua-capital-partners?trk=public_profile_experience-item_result-card_subtitle-click,Hot Lead,,,,Unknown - Name suggests aquaculture focus but limited public information. Conference attendance indicates sector interest; track record unclear,87,,,,No,,,,,Strategic Target,Growth/Expansion,To Be Contacted,,"Agriculture, Food Value Chain, AgTech",,$5M - $30M,15,,
Omnivore Partners,,Direct,,Indirect,,,,Medium - India-focused agtech VC; may consider aquaculture with strong tech/innovation component,,,,,,No,,,,"India (primary), South Asia, expanding to Southeast Asia for agtech and aquaculture technology investments",,India,,,,"AgTech, Agriculture, Aquaculture, Food Systems",,Venture Capital,,No,,AgTech venture capital firm. Eyes more aquaculture successes following Eruvaka investments. Active in India's agriculture and aquaculture technology sector.,,Hot Lead,,,,Eruvaka (aquaculture tech),86,,,,No,,,,,Strategic Target,Seed/Growth,To Be Contacted,,,,$3M - $15M,8,,
Aker ASA,,,,Direct,,,,High - Norwegian industrial conglomerate with RAS/aquaculture division; strategic partner and potential co-investor,,,,,,No,,,,"Norway (primary), Nordic region, expanding globally for aquaculture and RAS technology investments",,Norway,,,,"Aquaculture, Land-based Aquaculture, RAS Technology",,Strategic/Corporate,,No,,"Invested NOK 155 million in Gaia Salmon Holding (25.3% stake) for 7,200 MT post-smolt RAS in Træna, Norway. Part of wider salmon production investments.",,Warm Lead,,,,"Extensive - Major Norwegian aquaculture investor. Aker BioMarine (krill), Aker Seafood Holding. Founded Kingii RAS salmon venture (Norway). Deep aquaculture ecosystem experience",85,,,,No,,,,,Strategic Target,,To Be Contacted,,"Aquaculture (salmon, RAS), Seafood Industry",,$10M - $50M,15,,
FuturePlay,,,,Indirect,,,,Low - Korean early-stage VC; limited information on aquaculture/agtech mandate,,,,,,No,,,,"South Korea (primary), expanding to Asia-Pacific technology and innovation investments",,South Korea,,,,,,Venture Capital,,No,,Led KRW 1.5 billion Pre-A funding round in aquaculture technology startup TIDEPOOL. Active in technology and innovation investments.,,Warm Lead,,,,TIDEPOOL (aquaculture tech),78,,,,No,,,,,Strategic Target,Seed/Early Stage,To Be Contacted,,Early-stage Ventures (sector focus unknown),,$1M - $10M,3,,
Ocean 14 Capital,,,,Direct,,,,High - Specialized ocean/aquaculture PE investor; backs sustainable seafood and blue economy projects,,,,,,Yes,,,,"Global, emerging markets",,United Kingdom,,,,"Aquaculture, Blue Economy, Food Security, Sustainable Technology","ESG/Impact First, Technology Focus",Private Equity,,No,,"PE impact investment fund focused on UN SDG 14: Life Below Water. Invested $3M in India's AquaExchange, €10M+ in Brazil's Tilabras tilapia. Active global aquaculture investor with sustainability focus.",,Hot Lead,,,,"AquaExchange (India), Tilabras (Brazil)",93,,,,No,,,,,Strategic Target,,To Be Contacted,,,,$3M - $15M,8,,https://ocean14capital.com/2024/01/25/ocean-14-capital-fund-invests-3m-in-indias-aquaexchange-as-part-of-aquaculture-data-and-automation-implementation-drive/
Bluefront Equity,,,,Direct,,,,High - Blue economy PE investor; backs sustainable aquaculture and seafood value chains,,,,,,No,,,,"Norway (primary), Europe, global seafood value chain and blue economy investments",,Norway,,,,"Aquaculture, Blue Economy, Food Systems","ESG/Impact First, Vertical Integration",Private Equity,,No,,Pure play seafood private equity firm investing in the seafood value chain and in the future of the blue economy. Impact-focused.,,Hot Lead,,,,Direct aquaculture PE focus - Portfolio likely includes marine/land-based aquaculture investments. Blue economy specialist; track record to be confirmed,88,,,,No,,,,,Strategic Target,,To Be Contacted,,"Aquaculture, Blue Economy, Seafood Value Chain",,,,,https://no.linkedin.com/company/bluefront-equity
Chr. Augustinus Fabrikker,,,,Direct,,,,Medium - Danish foundation/family office with blue economy mandate; sustainable aquaculture focus,,,,,,Yes,,,,"Denmark (HQ), global blue economy investments via Ocean 14 Capital and other impact vehicles",,Denmark,,,,"Aquaculture, Blue Economy, Sustainable Technology",ESG/Impact First,Foundation/Family Office,,No,,"Investor in Ocean 14 Capital. Focus on blue economy. Investments in sustainable fish/shrimp/shellfish production, plastic reduction and recycling. Based on UN SDG 14: Life below water.",,Warm Lead,,,,Ocean 14 Capital fund,83,,,,No,,,,,Strategic Target,,To Be Contacted,,"Sustainable Aquaculture, Blue Economy, Climate Solutions",,$5M - $20M,10,,https://augustinusfabrikker.dk/en/ocean-14-capital
Mainstream Aquaculture,,,,Direct,,,,"High - Major RAS operator; strategic partner for technology, operations, and market access",,,,,,No,,,,"Australia (Melbourne, Queensland), USA (Arizona). Leading RAS barramundi producer expanding globally",,Australia,,,,"Aquaculture, Land-based Aquaculture, RAS Technology",,Strategic/Corporate,,No,,"Founded 2001. World's leading RAS Barramundi producer. Proprietary technology and selective breeding program. World's largest aquaculture system in Melbourne. Operations in Queensland and Arizona, USA.",,Warm Lead,,,,"Multiple RAS facilities - Australia, USA",81,,,,No,,,,,Strategic Target,,To Be Contacted,,,,$20M - $75M,30,,https://www.mainstreamaquaculture.com/investors/
Swiss Impact Office,,,,Indirect,,,,Low - Swiss multi-family office with climate/impact focus; limited information on aquaculture mandate,,,,,,Yes,,,,"Switzerland (Zurich HQ), Europe, global alternative investments for private and institutional capital",,Switzerland,,,,"Climate Tech, Infrastructure, Sustainable Technology","ESG/Impact First, Technology Focus",Multi Family Office,,No,,Zurich-based multi-family office allocating private and institutional capital in alternative markets. Direct investments and specialized funds. Active hands-on approach adding value to portfolio companies.,,Warm Lead,,,,Limited - Swiss multi-family office focused on impact investing. May have evaluated aquaculture as sustainable food but no confirmed investments,80,,,,No,,,,,Strategic Target,Growth/Expansion,To Be Contacted,,,,$5M - $30M,15,,https://impactoffice.ch/
New Zealand King Salmon Investments,,,,Direct,,,,Low - Strategic corporate focused on own operations. NZ King Salmon is primarily an operating company (world's largest King salmon producer) rather than financial investor. Blue Endeavour investment was strategic for own production expansion. May provide technical insights or offtake partnerships but unlikely to co-invest as financial partner in Saudi RAS project.,,,,,,No,,,,"New Zealand (primary), expanding to international markets for King salmon aquaculture and open ocean technology",,New Zealand,,,,"Aquaculture, Sustainable Technology",,Strategic/Corporate,,No,,World's largest King salmon aquaculture producer. Listed NZX/ASX. Government funding partnership: $29M programme with $11.7M government investment for open ocean aquaculture. Blue Endeavour open ocean farm.,,Warm Lead,,,,Blue Endeavour open ocean farm,82,,,,No,,,,,Strategic Target,,To Be Contacted,,,,$10M - $50M,20,,https://www.kingsalmon.co.nz/
PensionDanmark,,,,Indirect,,,,"Medium - Danish pension fund with pioneering offshore wind investment 14 years ago shows appetite for infrastructure innovation. Exporting Danish model globally. However, institutional pension mandate suggests preference for lower-risk, established platforms over early-stage greenfield. Large ticket sizes ($30M-$100M+) may exceed co-investment needs. Better suited as later-stage institutional investor.",,,,,,Yes,,,,"Denmark (domestic primary), expanding globally for sustainable infrastructure investments. Pioneered offshore wind",,Denmark,,,,"Infrastructure, Sustainable Technology",,Pension Fund,,No,,Danish pension fund with strong infrastructure investment track record. Made groundbreaking domestic offshore wind investment 14 years ago. Continues to innovate globally. Exporting Danish model in infrastructure.,,Warm Lead,,,,Limited - Danish pension fund with ESG infrastructure mandate. May have indirect exposure via sustainable food/agriculture allocations,78,,,,No,,,,,Strategic Target,Infrastructure/Growth,To Be Contacted,,,,$30M - $100M+,50,,
KGAL,€16 billion,,,Indirect,,,,Low - German asset manager; limited information on direct project investment approach,,,,,,Yes,,,,"Europe (Germany HQ), global sustainable infrastructure - 150+ renewable energy assets across multiple continents",,Germany,,,,,,Asset Manager,,No,,€16 billion investment volume. Pioneers in sustainable infrastructure since 2003. €3.5 billion AuM in sustainable infrastructure. 150+ renewable energy assets with 1.4 GW capacity. 60+ renewables team.,,Warm Lead,,,,"Limited - German alternative asset manager focused on real estate, aviation, renewables. May have indirect agriculture exposure but no aquaculture track record",79,,,,No,,,,,Strategic Target,Infrastructure/Institutional,To Be Contacted,,,,$30M - $150M,50,,https://www.kgal.de/en
Rabobank Investments,,,,Direct,,,,Medium - Rabobank's investment arm; may co-invest alongside bank lending in strategic aquaculture deals,,,,,,No,,,,"Netherlands (HQ), global agri-food investments - strong Europe, Americas, Asia-Pacific presence via Rabobank network",,Netherlands,,,,"AgTech, Agriculture, Aquaculture, Food Systems","Food Security, Technology Focus",Corporate Investor/Bank,,No,,"Investment arm of Rabobank. Invested in The Kingfish Company (RAS yellowtail). Private equity, fund & co-investments, ventures, corporate venturing divisions. Strong agri-food focus.",,Warm Lead,,,,The Kingfish Company (RAS),84,,,,No,,,,,Strategic Target,,To Be Contacted,,,,$10M - $50M,20,,https://raboinvestments.com/portfolio/the-kingfish-company/
8F Asset Management,,,,Direct,,,,High - RAS-focused PE investor; backs land-based aquaculture infrastructure and technology,,,,,,Yes,,,,"Global - Europe, Asia, Middle East, US",,Singapore,,,,"Aquaculture, Infrastructure, Land-based Aquaculture, RAS Technology","ESG/Impact First, Technology Focus",Private Equity,,Yes,,"Raised $460M for Soul of Japan 10,000 tonne salmon RAS and Pure Salmon Technology. Impact investing focus. Investors include sovereign wealth funds, insurance, pension funds from Europe, Asia, Middle East, US.",,Hot Lead,,,,"Pure Salmon, Soul of Japan RAS",91,,,,No,,,,,Strategic Target,,To Be Contacted,,"Aquaculture, RAS Technology, Land-based Fish Farming",,$50M - $200M+,100,,https://sg.linkedin.com/company/8f-investment-partners
Aqua-Spark,,,,Direct,,,,High - Leading aquaculture PE investor; backs sustainable seafood value chains and aqua-tech,,,,,,Yes,mailto:info@aqua-spark.nl,,,"Global aquaculture - Netherlands HQ, portfolio across Americas, Europe, Asia, Africa. World's largest sustainable aquaculture fund",,Netherlands,,,,"Aquaculture, Blue Economy, Feed & Nutrition, Sustainable Technology","ESG/Impact First, Technology Focus",Private Equity,,No,,World's largest investment fund dedicated to sustainable aquaculture. Global portfolio across value chain. Building synergistic portfolio demonstrating sustainable aquaculture produces better returns. Utrecht-based.,,Hot Lead,+31 (0)30 8200369,,,Global aquaculture value chain investments,94,,,,No,,,,,Strategic Target,,To Be Contacted,,"Sustainable Aquaculture, Aqua-tech, Feed Innovation",,$5M - $20M,10,,https://aqua-spark.nl
GreenScale (Clausen Family),,,,Direct,,,,Medium - Danish family office with RAS investments; strong aquaculture expertise,,,,,,No,,,,"Denmark (primary), Nordic region, planning land-based aquaculture hub with modular farming systems",,Denmark,,,,"Aquaculture, Land-based Aquaculture, RAS Technology",,Family Office,,No,,"Backed by Denmark's third-richest family (Danfoss founder descendants). Plans land-based aquaculture hub with modular farming systems. First farm planned 2026. Focus on education, technology, investment.",,Hot Lead,,,,Land-based aquaculture hub development,89,,,,No,,,,,Strategic Target,,To Be Contacted,,"Land-based Aquaculture, RAS Technology",,$10M - $50M+,25,,
